length,staticweight,balance,swingweight,headsize,beamwidth,cluster_1,cluster_2,cluster_3,cluster_4,cluster_5,cluster_6,cluster_7,cluster_8,cluster_9,cluster_10,cluster_11,cluster_12,cluster_13,cluster_14,cluster_15,cluster_16,cluster_17,cluster_18,cluster_19,cluster_20
-0.5199197905559463,-0.4383869954571067,-0.0861320461974626,-0.467643060922692,0.6563230457434259,-0.8138041618239034,0,1,2,3,3,0,4,5,7,6,2,4,5,4,9,4,12,3,17,11
-1.4266407237800671,-0.1973803986489139,-0.1464103603204517,1.1385435107625772,-1.1382676640818836,-1.0640292683130754,0,1,0,3,3,3,4,5,2,7,8,10,4,11,2,15,7,2,0,15
1.7403354401126052,0.1008087392090761,0.0641284913065179,-0.846087316808759,0.8457348562069313,0.5675578190152478,0,0,2,0,0,2,5,0,8,1,9,5,3,5,5,8,14,12,9,13
-1.3572245909159917,0.8579405619795604,1.175203982476276,1.474390471663504,-1.5273461706577416,-1.5534382817219878,0,1,0,2,2,1,3,3,4,2,5,11,9,10,11,0,0,14,15,1
-0.8302730673405401,-0.4926228216040979,-0.1067641631163918,0.8639756265437321,-0.8243609314680269,-1.07235519143937,0,1,0,3,3,3,4,5,2,7,8,10,4,11,2,15,7,2,0,9
-0.7531746238068019,-0.428137838086757,-0.101638700554063,0.4357136067464209,-0.4935458067978218,0.6824121825183737,0,1,2,3,3,0,0,4,3,5,3,8,10,13,8,7,3,16,2,6
2.7482084543649483,1.3045743882129537,2.1600577564525176,-1.0354038132805028,1.05922452134488,-0.1077782977224872,0,0,2,0,4,2,2,1,1,4,4,7,6,7,0,3,6,9,8,7
0.529373086328991,-0.6349149660492214,-0.9570853509359916,-0.6007941964420324,0.4993295489192478,1.836952710810117,0,0,1,1,0,5,6,0,5,0,7,1,0,1,3,13,1,1,5,0
-0.3724425201092682,0.3032143107328346,-0.0763278375283459,0.2134441287523071,-0.2890520886270066,0.985315026727322,0,1,2,3,3,0,0,4,3,5,3,8,10,13,13,12,16,11,4,8
-0.0875612957406404,-1.5306585679043043,-1.8977950750118149,-0.850303439400077,0.9061653635831094,0.8197855539431781,0,0,1,1,0,5,6,6,5,8,7,6,12,6,7,1,5,4,6,10
1.4001334459196195,0.0600694046883652,-0.4566585891778247,-0.4640716307709311,0.5192650056175127,-0.1722888789680293,0,0,2,0,0,2,5,0,8,1,9,5,3,5,5,8,14,12,9,13
0.2206559648922043,-0.0374096778467314,0.4069845007974458,0.1400009131115574,-0.1084281370395432,-0.1462992628557996,0,1,2,3,3,0,4,4,3,6,2,3,11,8,1,4,11,0,13,19
-0.7714584512977251,0.3703602402886565,0.7946162383249326,0.7457831675732428,-0.7934030085280719,-0.0168144843219357,0,1,0,3,3,0,4,3,2,2,10,3,8,3,1,9,3,17,11,4
-0.1393660938427082,-0.1229601635449496,-0.5200735514311713,0.0745006773052262,-0.1638652064010732,1.2419327894378152,0,0,2,3,0,0,0,4,3,5,3,8,10,13,13,12,16,13,4,8
0.0586981031584314,-1.007307031248018,-1.435262767148456,-1.059601547815259,0.9888570873182512,2.0250106588539967,0,0,1,1,0,5,6,0,5,0,7,1,0,1,7,1,1,1,5,0
